Sample Date	Southern	Northern	Southern 7 day avg	Northern 7 day avg
2020-03-09		29		
2020-03-10	38	15		21
2020-03-11	31	65	34	31
2020-03-12	25	36	31	32
2020-03-13			31	32
2020-03-14	16	27	26	31
2020-03-15	39	53	28	34
2020-03-16	33	23	29	32
2020-03-17	106	78	35	43
2020-03-18	65	45	39	40
2020-03-19	19	49	37	42
2020-03-20			37	42
2020-03-21			44	46
2020-03-22			45	45
2020-03-23	146	380	66	90
2020-03-24		321	56	129
2020-03-25	30	228	43	192
2020-03-26	370	39	117	182
2020-03-27	34	299	86	201
2020-03-28			86	201
2020-03-29			86	201
2020-03-30	46	219	64	180
2020-03-31			64	155
2020-04-01	143	475	95	187
2020-04-02			61	315
2020-04-03	233	438	116	357
2020-04-04			116	357
2020-04-05			116	357
2020-04-06			182	456
2020-04-07	310	562	218	489
2020-04-08			269	496
2020-04-09	501	784	331	578
2020-04-10			394	664
2020-04-11			394	664
2020-04-12			394	664
2020-04-13			394	664
2020-04-14	389	702	441	742
2020-04-15			441	742
2020-04-16	138	321	232	474
2020-04-17	164	360	206	433
2020-04-18			206	433
2020-04-19			206	433
2020-04-20			206	433
2020-04-21			150	340
2020-04-22	220	541	171	397
2020-04-23	179	283	186	381
2020-04-24			199	391
2020-04-25			199	391
2020-04-26			199	391
2020-04-27	130		173	391
2020-04-28	97	293	149	355
2020-04-29			131	288
2020-04-30			112	293
2020-05-01			112	293
2020-05-02			112	293
2020-05-03	209	93	138	165
2020-05-04			142	165
2020-05-05	97	94	142	94
2020-05-06	5	22	47	58
2020-05-07			47	58
2020-05-08			47	58
2020-05-09			47	58
2020-05-10			22	46
2020-05-11	164		43	46
2020-05-12			29	22
2020-05-13				
2020-05-14				
2020-05-15				
2020-05-16				
2020-05-17				
2020-05-18				
2020-05-19				
2020-05-20				
2020-05-21	82	42		
2020-05-22	426	244		
2020-05-23	77	69		
2020-05-24	79	52	121	78
2020-05-25	66	42	107	69
2020-05-26	97	38	105	62
2020-05-27	197	81	115	65
2020-05-28	50	35	107	63
2020-05-29	28	49	73	50
2020-05-30	66		71	47
2020-05-31	79	37	71	45
2020-06-01	82	60	73	48
2020-06-02	194	95	81	55
2020-06-03	35	40	63	49
2020-06-04	47	32	63	49
2020-06-05	44	45	67	48
2020-06-06	19	46	56	48
2020-06-07	24	27	47	45
2020-06-08	26	19	40	39
2020-06-09	52	167	33	42
2020-06-10	75	68	37	45
2020-06-11	40	134	36	56
2020-06-12	45	78	36	60
2020-06-13	77	180	44	73
2020-06-14	36		47	86
2020-06-15	38	141	50	120
2020-06-16	60	118	51	113
2020-06-17	19	13	42	86
2020-06-18	16	21	37	63
2020-06-19	11	37	30	56
2020-06-20	12	25	23	40
2020-06-21	22	26	21	38
2020-06-22	24		20	30
2020-06-23	16	22	17	23
2020-06-24	5	10	14	22
2020-06-25	9	16	12	21
2020-06-26	9	11	12	17
2020-06-27	20	15	13	16
2020-06-28	8	19	11	15
2020-06-29	20	15	11	15
2020-06-30	12	22	11	15
2020-07-01	15	27	12	17
2020-07-02	52	29	16	19
2020-07-03	20	43	18	23
2020-07-04	35	15	19	23
2020-07-05	11	13	20	21
2020-07-06	17	34	20	24
2020-07-07	24	37	22	26
2020-07-08	14	30	22	26
2020-07-09	27	21	20	25
2020-07-10	9	36	18	24
2020-07-11	24	21	17	26
2020-07-12	27	46	19	31
2020-07-13	25	32	20	31
2020-07-14	17	32	19	30
2020-07-15	35	30	22	30
2020-07-16	23	25	21	31
2020-07-17	22	43	24	32
2020-07-18	42	26	26	32
2020-07-19	23	14	26	27
2020-07-20	31	20	27	26
2020-07-21	12	17	25	24
2020-07-22	35	28	25	23
2020-07-23	15	23	24	23
2020-07-24	26	57	24	24
2020-07-25	24	41	22	26
2020-07-26	14	33	21	29
2020-07-27	28	31	20	31
2020-07-28			22	34
2020-07-29	30	24	22	33
2020-07-30			24	35
2020-07-31	29	81	24	38
2020-08-01			24	37
2020-08-02			29	39
2020-08-03	109	109	46	59
2020-08-04	74	47	51	56
2020-08-05	101	43	70	65
2020-08-06	27	48	57	61
2020-08-07	18	41	52	53
2020-08-08			52	53
2020-08-09			52	53
2020-08-10	42	62	43	48
2020-08-11			38	48
2020-08-12	27	57	27	52
2020-08-13			27	53
2020-08-14	18	45	27	55
2020-08-15			27	55
2020-08-16			27	55
2020-08-17	24	44	23	48
2020-08-18			23	48
2020-08-19	50	87	28	56
2020-08-20			28	56
2020-08-21	35	60	35	61
2020-08-22			35	61
2020-08-23			35	61
2020-08-24	21	38	33	58
2020-08-25			33	58
2020-08-26	31	48	28	48
2020-08-27			28	48
2020-08-28	38	60	29	48
2020-08-29			29	48
2020-08-30			29	48
2020-08-31	47	61	38	56
2020-09-01			38	56
2020-09-02	54	144	46	81
2020-09-03			46	81
2020-09-04	52	138	51	107
2020-09-05			51	107
2020-09-06			51	107
2020-09-07	65	59	57	105
2020-09-08			57	105
2020-09-09	71	46	62	72
2020-09-10	38	59	55	69
2020-09-11	52	46	55	52
2020-09-12	19	51	44	52
2020-09-13	25	44	40	51
2020-09-14	27	49	35	49
2020-09-15	70	45	38	48
2020-09-16	68	48	38	49
2020-09-17	36	54	38	48
2020-09-18	45	75	37	51
2020-09-19	53	31	43	48
2020-09-20	85	32	51	46
2020-09-21	61	24	58	41
2020-09-22	41	44	53	41
2020-09-23	46	41	51	40
2020-09-24	46	31	52	37
2020-09-25	60	34	55	33
2020-09-26			55	34
2020-09-27			50	34
2020-09-28	46	43	47	38
2020-09-29			49	37
2020-09-30	58	21	52	31
2020-10-01			54	31
2020-10-02	68	34	57	31
2020-10-03			57	31
2020-10-04			57	31
2020-10-05	63	38	63	30
2020-10-06			63	30
2020-10-07	59	70	63	45
2020-10-08			63	45
2020-10-09	66	56	63	53
2020-10-10			63	53
2020-10-11			63	53
2020-10-12	63	52	63	59
2020-10-13			63	59
2020-10-14	103	71	76	59
2020-10-15			76	59
2020-10-16	105	101	88	72
2020-10-17			88	72
2020-10-18	121	263	95	99
2020-10-19	259	116	136	122
2020-10-20	175	130	143	123
2020-10-21	271	95	173	131
2020-10-22	214	131	179	131
2020-10-23	120	103	183	131
2020-10-24	118	132	172	132
2020-10-25	179	126	182	118
2020-10-26	120	120	163	119
2020-10-27	173	129	163	119
2020-10-28	156	190	150	131
2020-10-29	92	97	133	126
2020-10-30	134	201	135	138
2020-10-31	68	148	125	140
2020-11-01	145	139	122	142
2020-11-02	181	186	129	151
2020-11-03	256	317	136	172
2020-11-04	177	183	139	171
2020-11-05	269	354	162	206
2020-11-06	206	207	172	207
2020-11-07	240	221	206	219
2020-11-08	270	322	225	247
2020-11-09	273	226	239	254
2020-11-10	291	339	243	257
2020-11-11	244	396	255	287
2020-11-12	341	318	263	282
2020-11-13	255	301	272	298
2020-11-14	359	313	288	313
2020-11-15	382	286	302	307
2020-11-16	300	311	307	322
2020-11-17	428	412	324	331
2020-11-18	380	353	345	325
2020-11-19	211	384	322	334
2020-11-20	305	371	330	344
2020-11-21	270	385	317	355
2020-11-22	411	435	320	377
2020-11-23	553	267	350	369
2020-11-24	526	518	360	381
2020-11-25	497	459	374	395
2020-11-26	1052	495	471	410
2020-11-27	568	561	515	435
2020-11-28	748	546	595	457
2020-11-29	646	520	635	469
2020-11-30	771	675	666	536
2020-12-01	537	862	668	576
2020-12-02	431	857	655	630
2020-12-03	824	888	632	685
2020-12-04	1578	1384	732	779
2020-12-05	647	956	716	844
2020-12-06	1042	1035	767	931
2020-12-07	1135	1219	811	1013
2020-12-08	827	725	862	988
2020-12-09	784	629	939	945
2020-12-10	954	812	959	933
2020-12-11	882	1146	883	909
2020-12-12	764	1023	904	918
2020-12-13	1013	1356	900	954
2020-12-14	1272	1195	915	951
2020-12-15	790	202	909	792
2020-12-16	922	877	930	831
2020-12-17	1143	1111	955	869
2020-12-18	793	1048	940	858
2020-12-19	674	1176	924	875
2020-12-20	950	897	915	825
2020-12-21	923	775	874	775
2020-12-22	999	995	904	974
2020-12-23	1058	841	922	968
2020-12-24	844	985	883	952
2020-12-25	851	907	892	932
2020-12-26	531	551	862	836
2020-12-27	309	1208	734	873
2020-12-28	813	1448	721	954
2020-12-29	1014	774	722	921
2020-12-30	922	1451	708	995
2020-12-31	831	792	707	965
2021-01-01	733	473	692	879
2021-01-02	820	367	736	829
2021-01-03	1120	395	885	707
2021-01-04	1154	546	931	615
2021-01-05	972	942	925	632
2021-01-06	1323	1061	974	605
2021-01-07	1061	1051	1008	630
2021-01-08	1747	1329	1141	730
2021-01-09	1803	1411	1278	885
2021-01-10	1717	1180	1358	1034
2021-01-11	2069	1013	1476	1130
2021-01-12	902	920	1460	1126
2021-01-13	1122	983	1426	1114
2021-01-14	943	951	1403	1098
2021-01-15	750	1112	1243	1071
2021-01-16	971	672	1138	963
2021-01-17	959	581	1047	870
2021-01-18	1141	603	962	808
2021-01-19	1255	966	1008	814
2021-01-20	619	422	926	721
2021-01-21	494	591	844	674
2021-01-22	670	690	831	629
2021-01-23	1085	866	844	653
2021-01-24	1777	663	922	665
2021-01-25	3772	631	1094	669
2021-01-26	708	290	1008	564
2021-01-27	269	350	894	549
2021-01-28	747	421	949	523
2021-01-29	706	329	956	470
2021-01-30	465	490	847	434
2021-01-31	444	397	695	403
2021-02-01	499	363	520	372
2021-02-02	422	274	483	369
2021-02-03	360	283	504	358
2021-02-04	360	249	454	332
2021-02-05	270	366	396	338
2021-02-06	519	434	402	332
2021-02-07	750	295	433	318
2021-02-08	492	412	432	324
2021-02-09	347	315	420	330
2021-02-10	213	225	390	320
2021-02-11	471	382	405	340
2021-02-12	286	358	409	339
2021-02-13	265	285	371	319
2021-02-14	543	283	355	317
2021-02-15	500	155	355	276
2021-02-16	663	190	390	257
2021-02-17	326	232	414	258
2021-02-18	476	412	415	261
2021-02-19	256	579	408	279
2021-02-20	318	182	419	262
2021-02-21	848	308	447	265
2021-02-22	687	386	468	302
2021-02-23	279	163	413	295
2021-02-24	306	260	409	300
2021-02-25	159	193	350	269
2021-02-26	135	124	320	216
2021-02-27	385	243	328	225
2021-02-28	356	211	290	213
2021-03-01	409	251	269	201
2021-03-02	270	218	268	209
2021-03-03	291	279	266	211
2021-03-04	797	332	335	228
2021-03-05	417	287	394	257
2021-03-06	352	190	389	248
2021-03-07	307	191	381	245
2021-03-08	399	284	379	249
2021-03-09	236	217	372	249
2021-03-10	206	208	354	239
2021-03-11	326	185	311	220
2021-03-12	300	364	297	227
2021-03-13	272	366	286	249
2021-03-14	362	235	293	257
2021-03-15	447	310	298	260
2021-03-16	374	216	318	260
2021-03-17	260	266	329	269
2021-03-18	328	415	329	302
2021-03-19	281	259	326	288
2021-03-20	338	382	337	290
2021-03-21	710	227	371	288
2021-03-22	566	286	383	285
2021-03-23	287	286	369	296
2021-03-24	431	245	397	293
2021-03-25	227	266	376	275
2021-03-26	340	209	387	267
2021-03-27	435	313	401	259
2021-03-28	406	218	370	258
2021-03-29	441	276	357	257
2021-03-30	335	212	365	246
2021-03-31	300	107	347	218
2021-04-01	538	233	392	214
2021-04-02	434	246	406	219
2021-04-03	264	177	378	202
2021-04-04	249	388	353	220
2021-04-05	390	273	346	219
2021-04-06	425	233	358	222
2021-04-07	261	222	351	247
2021-04-08	284	247	321	249
2021-04-09	392	300	316	256
2021-04-10	441	349	340	282
2021-04-11	471	287	373	270
2021-04-12	242	338	348	278
2021-04-13	253	170	323	266
2021-04-14	356	240	338	269
2021-04-15	330	237	345	267
2021-04-16	245	178	323	248
2021-04-17	214	271	291	240
2021-04-18	340	245	278	234
2021-04-19	177	181	266	214
2021-04-20	198	131	257	207
2021-04-21	203	158	237	194
2021-04-22	355	108	239	174
2021-04-23	192	80	231	155
2021-04-24	287	127	241	139
2021-04-25	238	176	229	133
2021-04-26	209	154	235	130
2021-04-27	139	107	223	126
2021-04-28	157	102	215	118
2021-04-29	231	133	202	122
2021-04-30	154	78	196	121
2021-05-01	109	97	171	117
2021-05-02	214	75	168	103
2021-05-03	100	67	151	92
2021-05-04	89	91	142	90
2021-05-05	141	84	140	87
2021-05-06	110	96	126	83
2021-05-07	69	69	112	82
2021-05-08	45	75	99	79
2021-05-09	55	87	81	81
2021-05-10	86	66	80	80
2021-05-11	40	23	71	66
2021-05-12	36	60	58	63
2021-05-13	78	62	56	59
2021-05-14	72	56	56	57
2021-05-15	70	49	60	54
2021-05-16	82	36	63	48
2021-05-17	73	44	62	45
2021-05-18	102	29	71	46
2021-05-19	67	31	77	42
2021-05-20	60	57	74	42
2021-05-21	56	48	72	41
2021-05-22	38	43	66	40
2021-05-23	42	18	60	36
2021-05-24	61	40	58	36
2021-05-25	56	30	53	36
2021-05-26	35	20	49	34
2021-05-27	41	21	46	29
2021-05-28	34	26	43	27
2021-05-29	30	12	42	22
2021-05-30	28	21	39	23
2021-05-31	32	15	36	20
2021-06-01	36	30	34	20
2021-06-02	24	28	32	21
2021-06-03	25	24	30	21
2021-06-04	36	20	30	20
2021-06-05		38	30	24
2021-06-06	19	24	28	25
2021-06-07	27	29	27	27
2021-06-08	17	15	24	24
2021-06-09	26	14	24	22
2021-06-10	23	33	24	23
2021-06-11	44	40	25	25
2021-06-12	20	32	24	25
2021-06-13	19	20	24	24
2021-06-14	15	11	22	21
2021-06-15	7	9	19	20
2021-06-16	6	13	16	19
2021-06-17	19	16	15	18
2021-06-18	7	16	12	15
2021-06-19	6	11	10	13
2021-06-20	88	15	13	13
2021-06-21	23	19	13	14
2021-06-22	13	17	15	15
2021-06-23	11	18	16	16
2021-06-24	ND	33	12	17
2021-06-25	5	31	11	19
2021-06-26	18	14	13	20
2021-06-27	7	13	9	20
2021-06-28	17	52	9	23
2021-06-29	87	56	11	27
2021-06-30	106	23	16	28
2021-07-01	4	19	17	26
2021-07-02	27	40	21	27
2021-07-03	28	45	23	31
2021-07-04	30	61	28	39
2021-07-05	53	28	33	36
2021-07-06	39	27	29	32
2021-07-07	ND	38	17	35
2021-07-08	52	50	25	40
2021-07-09	42	76	26	44
2021-07-10	51	73	29	47
2021-07-11	96	52	34	46
2021-07-12	62	87	35	54
2021-07-13	59	ND	37	38
2021-07-14	54	102	58	44
2021-07-15	29	59	53	45
2021-07-16	65	80	56	45
2021-07-17	103	57	62	44
2021-07-18	101	118	63	49
2021-07-19	97	163	67	54
2021-07-20	42	126	64	94
2021-07-21	80	167	67	101
2021-07-22	95	136	80	114
2021-07-23	188	202	93	130
2021-07-24	215	148	103	149
2021-07-25	260	249	118	166
2021-07-26	302	263	139	178
2021-07-27	235	181	178	187
2021-07-28	243	279	209	202
2021-07-29	161	200	225	213
2021-07-30	209	184	228	210
2021-07-31	475	135	256	207
2021-08-01	504	223	281	204
2021-08-02	561	213	307	198
2021-08-03	222	171	305	196
2021-08-04	95	144	267	179
2021-08-05	544	161	317	173
2021-08-06	202	186	316	173
2021-08-07	330	665	300	218
2021-08-08	465	659	296	254
2021-08-09	563	691	296	301
2021-08-10	405	329	323	330
2021-08-11	202	240	359	355
2021-08-12	287	681	328	437
2021-08-13	303	376	348	483
2021-08-14	293	363	342	443
2021-08-15	308	306	322	397
2021-08-16	305	325	295	356
2021-08-17	229	335	272	357
2021-08-18	153	229	261	355
2021-08-19	301	227	263	303
2021-08-20	274	320	260	296
2021-08-21	178	695	242	325
2021-08-22	245	315	234	327
2021-08-23	178	249	217	314
2021-08-24	178	290	209	308
2021-08-25	451	385	244	332
2021-08-26	344	383	249	358
2021-08-27	416	444	264	375
2021-08-28	603	408	314	347
2021-08-29	463	304	344	346
2021-08-30	532	320	402	358
2021-08-31	779	347	497	367
2021-09-01	334	164	476	325
2021-09-02	262	205	458	298
2021-09-03	145	326	394	285
2021-09-04	388	266	370	268
2021-09-05	394	239	361	259
2021-09-06	183	281	310	254
2021-09-07	251	221	264	238
2021-09-08	309	170	261	239
